customer_id,name,months_as_customer,age,country,street_addrees,city,state,state_code,insured_zip,email_address,phone_number,insured_sex,national_id,creditcard_number,creditcard_type,creditcard_exp,creditcard_cvv,insured_education_level,insured_hobbies,insured_relationship,insured_occupation,marital_status,customer_lifetime_value,no_of_policies,no_of_closed_complaints,no_of_communications,no_of_complaints,no_of_open_complaints
KQHNBE2,Paula James,328,48,US,1001 W 75th Street,Woodridge,Illinois,IL,466132,eheissgd@mit.edu,814-400-4498,MALE,204-81-0294,3.09E+15,JCB,20-Aug,8764,MD,sleeping,husband,craft-repair,Single,9209.41167,7,2,8,3,0
56WNJ8B,Carolyn Joubert,228,42,US,100 Northstar Dr,Truckee,California,CA,468176,amcilvorayk1@ebay.co.uk,713-301-3478,MALE,161-55-7464,6.01E+15,Discover,19-Jun,6865,MD,reading,other-relative,machine-op-inspct,Divorced,4428.038374,8,1,8,0,0
DVW8235,Jean May,134,29,US,18325 Aurora Ave N,Shoreline,Washington,WA,430632,klergangs@list-manage.com,585-958-6076,FEMALE,591-18-3589,4.11E+15,VISA,18-Jun,634,PhD,board-games,own-child,sales,Married,7228.993348,3,0,0,8,0
7K4NMRD,Ryan Carver,256,41,US,16610 Valley View Avenue,La Mirada,California,CA,608117,cklaggemanrk@hubpages.com,504-829-6512,FEMALE,546-65-3598,3.00E+13,Diners Club,19-Jul,4876,PhD,board-games,unmarried,armed-forces,Single,2321.88367,1,1,4,9,0
2SVQB2H,Vernon Felix,228,44,US,1530 Old Alabama Road,Roswell,Georgia,GA,610706,scloughton3d@samsung.com,832-406-0923,MALE,147-86-7757,3.09E+15,JCB,20-Apr,4885,Associate,board-games,unmarried,sales,Married,3341.6835,3,0,7,5,5
9VLZUL2,Phyllis Autrey,256,39,US,1951 W Jefferson Ave,Naperville,Illinois,IL,478456,rachelb@intel.com,208-934-1295,FEMALE,786-61-0717,3.00E+13,Diners Club,21-Jul,6641,PhD,bungie-jumping,unmarried,tech-support,Married,8417.159538,7,0,2,3,0
NPON5N0,Jason Dodge,137,34,US,177 Route 17 South,Paramus,New Jersey,NJ,441716,jhullspl@mlb.com,412-148-8866,MALE,284-52-4882,3.09E+15,JCB,19-Aug,2829,PhD,board-games,husband,prof-specialty,Single,10083.48688,2,0,0,2,0
XQ36MQ3,Patricia Trujillo,165,37,US,136-38 Linwood Plaza,Fort Lee,New Jersey,NJ,603195,bchillesmy@edublogs.org,907-310-0359,MALE,754-55-4310,6.01E+15,Discover,18-Mar,6671,Associate,base-jumping,unmarried,tech-support,Single,2750.540853,1,0,2,2,0
208HNFN,Norma Fitzgerald,27,33,US,1101 E Hwy 24,Woodland Park,Colorado,CO,601734,bstrippelm7@tuttocitta.it,330-638-6861,FEMALE,120-22-7181,6.01E+15,Discover,20-Aug,7358,PhD,golf,own-child,other-service,Married,4665.245047,3,1,9,3,1
H4NFUO4,David Nystrom,212,42,US,102 Lemmons Lane,Gaffney,South Carolina,SC,600983,cburcher1o@tuttocitta.it,786-910-0208,MALE,582-27-7752,3.70E+14,American Express,18-Oct,9785,PhD,camping,wife,priv-house-serv,Divorced,4170.572119,1,0,1,4,0
